,Age,Height ,Weight,BMI,SmokingHistory ,Fasting Plasma Glucose,2-hour Postprandial Plasma Glucose,Fasting C-peptide,2-hour Postprandial C-peptide,Fasting Insulin,2-hour Postprandial insulin,HbA1c,Glycated Albumin,Total Cholesterol,Triglyceride,High-Density Lipoprotein Cholesterol,Low-Density Lipoprotein Cholesterol,Creatinine,Estimated Glomerular Filtration Rate ,Uric Acid ,Blood Urea Nitrogen,Duration of diabetes,Alcohol Drinking History ,Vascular Complications,HypoglycemicAgents,OtherAgents,Gender ,Hypoglycemia 
Age,0.0,0.07547182,0.0,0.0638565,0.07768856,0.0,0.0,0.0,0.07410391,0.065846466,0.0,0.0,0.0,0.062022004,0.064728096,0.05829942,0.09820455,0.07455461,0.06565984,0.042881463,0.0,0.0,0.111733034,0.0,0.0,0.0,0.0,0.06494969
Height ,0.063849285,0.0,0.0,0.0,0.06661444,0.0,0.0,0.0,0.10329427,0.06166607,0.0,0.011838254,0.061434057,0.08224487,0.0,0.13345887,0.06435668,0.025968146,0.0023946727,0.0,0.0,0.0,0.18891913,0.0,0.09244712,0.0,0.0415141,0.0
Weight,0.0,0.0,0.0,0.058404535,0.0,0.0,0.0,0.0,0.0819221,0.0,0.08519204,0.0,0.25757676,0.0,0.098538645,0.0,0.19266424,0.04819927,0.004019957,0.0,0.0,0.0,0.13724267,0.0,0.0,0.03623975,0.0,0.0
BMI,0.086182974,0.0,0.06955306,0.0,0.0,0.070011,0.10930977,0.15611808,0.0,0.0,0.08473839,0.0,0.0,0.0,0.12010021,0.0,0.0,0.0,0.0,0.19258213,0.0,0.0,0.0,0.0,0.0,0.111404456,0.0,0.0
SmokingHistory ,0.08322163,0.084348306,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.017317733,0.0,0.0,0.091746844,0.18816215,0.0,0.076785594,0.005478741,0.077907264,0.0,0.08783326,0.15971003,0.0,0.0,0.0,0.070792355,0.056696024
Fasting Plasma Glucose,0.0,0.0,0.0,0.06183932,0.0,0.0,0.051036056,0.029540678,0.12561469,0.0,0.0964776,0.0,0.0,0.0,0.120929666,0.0,0.060772665,0.0,0.0,0.0425181,0.0,0.053223994,0.0,0.018040864,0.21155183,0.12845454,0.0,0.0
2-hour Postprandial Plasma Glucose,0.0,0.0,0.0,0.050610367,0.0,0.026752183,0.0,0.0494631,0.0,0.0,0.064682014,0.7055528,0.025978664,0.0,0.023434099,0.0,0.0,0.0,0.0,0.0,0.0,0.053526692,0.0,0.0,0.0,0.0,0.0,0.0
Fasting C-peptide,0.0,0.0,0.0,0.15486185,0.0,0.033175178,0.105972216,0.0,0.11523538,0.0721793,0.06178513,0.0,0.058059663,0.0,0.12799253,0.0,0.06339174,0.0,0.0,0.0,0.0,0.0,0.0,0.20734711,0.0,0.0,0.0,0.0
2-hour Postprandial C-peptide,0.07263596,0.11967836,0.0708541,0.0,0.0,0.10328478,0.0,0.084370166,0.0,0.0,0.0,0.0,0.0,0.04688952,0.0,0.0,0.09474702,0.045929372,0.0,0.0,0.0,0.0,0.15064415,0.04997071,0.08825492,0.07274106,0.0,0.0
Fasting Insulin,0.06154891,0.06813386,0.0,0.0,0.0,0.0,0.0,0.050395653,0.0,0.0,0.056249928,0.0,0.10642573,0.0895847,0.0,0.0,0.099974506,0.060812786,0.0,0.0,0.0,0.0,0.080249675,0.07432034,0.057490483,0.043006092,0.07535684,0.076450534
2-hour Postprandial insulin,0.0,0.0,0.08149295,0.0680662,0.0,0.08773632,0.11221588,0.05003157,0.0,0.06523816,0.0,0.0,0.15251307,0.0,0.1010425,0.0,0.12851043,0.0,0.0,0.0,0.0,0.0,0.0,0.022243392,0.0,0.06258709,0.0,0.06832246
HbA1c,0.0,1.4395779e-05,0.0,0.0,1.6631451e-05,0.0,0.0011615853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.018353e-06,0.0,0.0003138677,0.76142204,6.253038e-05,0.23665445,0.00015180654,0.0,0.0,1.8237652e-05,0.0,0.00017544691,0.0
Glycated Albumin,0.0,0.053132053,0.16629478,0.0,0.0,0.0,0.030418549,0.031731132,0.0,0.08330621,0.102933794,0.0,0.0,0.08675158,0.0,0.0,0.17065872,0.0,0.0,0.0,0.0029458848,0.0,0.117269404,0.006592484,0.13374613,0.0,0.0,0.014219221
