,Age,Height ,Weight,BMI,SmokingHistory ,Fasting Plasma Glucose (mg165.26dl),2-hour Postprandial Plasma Glucose (mg256.19dl),Fasting C-peptide (nmol0.47L),2-hour Postprandial C-peptide (nmol0.96L),Fasting Insulin (pmol111.99L),2-hour Postprandial insulin (pmol307.47L),HbA1c (mmol74.85mol),Glycated Albumin (%),Total Cholesterol (mmol4.84L),Triglyceride (mmol1.79L),High-Density Lipoprotein Cholesterol (mmol1.13L),Low-Density Lipoprotein Cholesterol (mmol3.12L),Creatinine (umol63.83L),Estimated Glomerular Filtration Rate  (ml116.68min116.681.73m2) ,Uric Acid (mmol333.88L),Blood Urea Nitrogen (mmol6.04L),Duration of diabetes (years),Alcohol Drinking History ,Vascular Complications,HypoglycemicAgents,OtherAgents,Gender ,Hypoglycemia 
Age,0.0,0.07791027,0.0,0.036290143,0.106254175,0.0,0.0,0.0,0.061784156,0.037187997,0.0,0.0,0.0,0.12998043,0.03914059,0.02881031,0.07297273,0.104398996,0.071961395,0.06695714,0.0,0.0,0.09900999,0.0,0.0,0.0,0.0,0.06734169
Height ,0.08774471,0.0,0.0,0.0,0.053062044,0.0,0.0,0.0,0.05836578,0.038779777,0.0,0.01879158,0.04586774,0.065291785,0.0,0.02823001,0.083548166,0.059742216,0.058281515,0.0,0.0,0.0,0.06583158,0.0,0.059451416,0.0,0.27701172,0.0
Weight,0.0,0.0,0.0,0.039494663,0.0,0.0,0.0,0.0,0.12548293,0.0,0.07687747,0.0,0.042297464,0.0,0.07784722,0.0,0.15688933,0.18970415,0.119072475,0.0,0.0,0.0,0.14318536,0.0,0.0,0.029149074,0.0,0.0
BMI,0.06126291,0.0,0.04767152,0.0,0.0,0.12147253,0.10565797,0.1335064,0.0,0.0,0.093967736,0.0,0.0,0.0,0.12540703,0.0,0.0,0.0,0.0,0.19417942,0.0,0.0,0.0,0.0,0.0,0.11687454,0.0,0.0
SmokingHistory ,0.1451739,0.06437249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016582143,0.0,0.0,0.060260378,0.03065276,0.0,0.101216584,0.0746704,0.07783954,0.0,0.08719037,0.16887759,0.0,0.0,0.0,0.07072585,0.10243797
Fasting Plasma Glucose (mg165.26dl),0.0,0.0,0.0,0.10457042,0.0,0.0,0.121145375,0.08207503,0.0592507,0.0,0.08984017,0.0,0.0,0.0,0.06587519,0.0,0.11836075,0.0,0.0,0.055593237,0.0,0.060051683,0.0,0.061263546,0.10047714,0.08149671,0.0,0.0
2-hour Postprandial Plasma Glucose (mg256.19dl),0.0,0.0,0.0,0.027507326,0.0,0.036637183,0.0,0.027760783,0.0,0.0,0.03522506,0.8230337,0.021306407,0.0,0.0074320687,0.0,0.0,0.0,0.0,0.0,0.0,0.021097457,0.0,0.0,0.0,0.0,0.0,0.0
Fasting C-peptide (nmol0.47L),0.0,0.0,0.0,0.12805282,0.0,0.09144654,0.102275744,0.0,0.11528004,0.064496316,0.083566114,0.0,0.1050498,0.0,0.14282592,0.0,0.056642745,0.0,0.0,0.0,0.0,0.0,0.0,0.110363886,0.0,0.0,0.0,0.0
2-hour Postprandial C-peptide (nmol0.96L),0.077017754,0.06460197,0.11184332,0.0,0.0,0.050823856,0.0,0.08875074,0.0,0.0,0.0,0.0,0.0,0.04455564,0.0,0.0,0.061451472,0.15817428,0.0,0.0,0.0,0.0,0.142135,0.04649342,0.080832794,0.07331973,0.0,0.0
Fasting Insulin (pmol111.99L),0.05488081,0.05081556,0.0,0.0,0.0,0.0,0.0,0.058783665,0.0,0.0,0.04568278,0.0,0.052379183,0.12226297,0.0,0.0,0.11450849,0.08136637,0.0,0.0,0.0,0.0,0.09521919,0.09470506,0.05932125,0.03645998,0.034663707,0.098950945
